,max_depth,min_samples_split,rmse,r2
0,5,5,2682.27146863818,0.43744207500172816
1,5,10,2675.040709803185,0.43909931817834214
2,5,15,2638.45363965732,0.4505918835521302
3,10,5,2680.4822147387613,0.43804904973708436
4,10,10,2676.8888100221584,0.43843068600870433
5,10,15,2639.104599765251,0.4503597633630175
6,15,5,2684.156895065037,0.43648350378434386
7,15,10,2677.9931587875635,0.4381220228059686
8,15,15,2638.7888583298545,0.45051230474412074
